key,code,instantiationMoment,providerName,customerName,goals,budget,draft-mode,key:project,key:client
# code data
contract-01,ABC-001,2022/07/29 23:00,Lorem ipsum,Lorem ipsum,Lorem ipsum,"EUR 1,000.00",true,project-01,client-01
contract-02,Z-001,2022/07/29 23:00,Lorem ipsum,Lorem ipsum,Lorem ipsum,"EUR 1,000.00",true,project-01,client-01
contract-03,ZZ-001,2022/07/29 23:00,Lorem ipsum,Lorem ipsum,Lorem ipsum,"EUR 1,000.00",true,project-01,client-01
contract-04,ZZZ-001,2022/07/29 23:00,Lorem ipsum,Lorem ipsum,Lorem ipsum,"EUR 1,000.00",true,project-01,client-01
# instantiationMoment data
contract-05,ABC-005,2000/01/01 00:00,Lorem ipsum,Lorem ipsum,Lorem ipsum,"EUR 1,000.00",true,project-01,client-01
contract-06,ABC-006,2000/01/01 00:01,Lorem ipsum,Lorem ipsum,Lorem ipsum,"EUR 1,000.00",true,project-01,client-01
contract-07,ABC-007,2022/07/29 23:59,Lorem ipsum,Lorem ipsum,Lorem ipsum,"EUR 1,000.00",true,project-01,client-01
contract-08,ABC-008,2022/07/30 00:00,Lorem ipsum,Lorem ipsum,Lorem ipsum,"EUR 1,000.00",true,project-01,client-01
contract-09,ABC-009,2020/02/28 00:00,Lorem ipsum,Lorem ipsum,Lorem ipsum,"EUR 1,000.00",true,project-01,client-01
# providerName data
contract-10,ABC-010,2022/07/29 23:00,L,Lorem ipsum,Lorem ipsum,"EUR 1,000.00",true,project-01,client-01
contract-11,ABC-011,2022/07/29 23:00,Lo,Lorem ipsum,Lorem ipsum,"EUR 1,000.00",true,project-01,client-01
contract-12,ABC-012,2022/07/29 23:00,Lorem ipsum dolor sit amet consectetur adipiscing elit Sed euismod elit at,Lorem ipsum,Lorem ipsum,"EUR 1,000.00",true,project-01,client-01
contract-13,ABC-013,2022/07/29 23:00,Lorem ipsum dolor sit amet consectetur adipiscing elit Sed euismod elit att,Lorem ipsum,Lorem ipsum,"EUR 1,000.00",true,project-01,client-01
contract-14,ABC-014,2022/07/29 23:00,<h1>!</h1>,Lorem ipsum,Lorem ipsum,"EUR 1,000.00",true,project-01,client-01
contract-15,ABC-015,2022/07/29 23:00,' or 'A'='A,Lorem ipsum,Lorem ipsum,"EUR 1,000.00",true,project-01,client-01
contract-16,ABC-016,2022/07/29 23:00,국민경제의 발전을,Lorem ipsum,Lorem ipsum,"EUR 1,000.00",true,project-01,client-01
contract-17,ABC-017,2022/07/29 23:00,العظمى واعتلاء,Lorem ipsum,Lorem ipsum,"EUR 1,000.00",true,project-01,client-01
# customerName data
contract-18,ABC-018,2022/07/29 23:00,Lorem ipsum,L,Lorem ipsum,"EUR 1,000.00",true,project-01,client-01
contract-19,ABC-019,2022/07/29 23:00,Lorem ipsum,Lo,Lorem ipsum,"EUR 1,000.00",true,project-01,client-01
contract-20,ABC-020,2022/07/29 23:00,Lorem ipsum,Lorem ipsum dolor sit amet consectetur adipiscing elit Sed euismod elit at,Lorem ipsum,"EUR 1,000.00",true,project-01,client-01
contract-21,ABC-021,2022/07/29 23:00,Lorem ipsum,Lorem ipsum dolor sit amet consectetur adipiscing elit Sed euismod elit att,Lorem ipsum,"EUR 1,000.00",true,project-01,client-01
contract-22,ABC-022,2022/07/29 23:00,Lorem ipsum,<h1>!</h1>,Lorem ipsum,"EUR 1,000.00",true,project-01,client-01
contract-23,ABC-023,2022/07/29 23:00,Lorem ipsum,' or 'A'='A,Lorem ipsum,"EUR 1,000.00",true,project-01,client-01
contract-24,ABC-024,2022/07/29 23:00,Lorem ipsum,국민경제의 발전을,Lorem ipsum,"EUR 1,000.00",true,project-01,client-01
contract-25,ABC-025,2022/07/29 23:00,Lorem ipsum,العظمى واعتلاء,Lorem ipsum,"EUR 1,000.00",true,project-01,client-01
# goals data
contract-26,ABC-026,2022/07/29 23:00,Lorem ipsum,Lorem ipsum,L,"EUR 1,000.00",true,project-01,client-01
contract-27,ABC-027,2022/07/29 23:00,Lorem ipsum,Lorem ipsum,Lo,"EUR 1,000.00",true,project-01,client-01
contract-28,ABC-028,2022/07/29 23:00,Lorem ipsum,Lorem ipsum,Lorem ipsum dolor sit amet consectetur adipiscing elit. Sed euismod elit at est porttitor tristique,"EUR 1,000.00",true,project-01,client-01
contract-29,ABC-029,2022/07/29 23:00,Lorem ipsum,Lorem ipsum,Lorem ipsum dolor sit amet consectetur adipiscing elit. Sed euismod elit at est porttitor tristiquee,"EUR 1,000.00",true,project-01,client-01
contract-30,ABC-030,2022/07/29 23:00,Lorem ipsum,Lorem ipsum,<h1>!</h1>,"EUR 1,000.00",true,project-01,client-01
contract-31,ABC-031,2022/07/29 23:00,Lorem ipsum,Lorem ipsum,' or 'A'='A,"EUR 1,000.00",true,project-01,client-01
contract-32,ABC-032,2022/07/29 23:00,Lorem ipsum,Lorem ipsum,국민경제의 발전을,"EUR 1,000.00",true,project-01,client-01
contract-33,ABC-033,2022/07/29 23:00,Lorem ipsum,Lorem ipsum,العظمى واعتلاء,"EUR 1,000.00",true,project-01,client-01
# budget data
contract-34,ABC-034,2022/07/29 23:00,Lorem ipsum,Lorem ipsum,Lorem ipsum,EUR 0.00,true,project-01,client-01
contract-35,ABC-035,2022/07/29 23:00,Lorem ipsum,Lorem ipsum,Lorem ipsum,EUR 0.01,true,project-01,client-01
contract-36,ABC-036,2022/07/29 23:00,Lorem ipsum,Lorem ipsum,Lorem ipsum,EUR 999999.99,true,project-01,client-02
contract-37,ABC-037,2022/07/29 23:00,Lorem ipsum,Lorem ipsum,Lorem ipsum,EUR 1000000.00,true,project-01,client-02
contract-38,ABC-038,2022/07/29 23:00,Lorem ipsum,Lorem ipsum,Lorem ipsum,GBP 15.75,true,project-01,client-02
contract-39,ABC-039,2022/07/29 23:00,Lorem ipsum,Lorem ipsum,Lorem ipsum,"THB 123,456.78",true,project-01,client-02
# draft-mode data
contract-40,ABC-040,2022/07/29 23:00,Lorem ipsum,Lorem ipsum,Lorem ipsum,"EUR 1,000.00",false,project-01,client-01
# key:project data
contract-41,ABC-041,2022/07/29 23:00,Lorem ipsum,Lorem ipsum,Lorem ipsum,"EUR 1,000.00",true,project-42,client-01
# key:client data
contract-42,ABC-042,2022/07/29 23:00,Lorem ipsum,Lorem ipsum,Lorem ipsum,"EUR 1,000.00",true,project-01,client-02
