key,code,title,abstract-project,indication,cost,link,draft-mode,key:manager
project-01,AAA-0001,Lorem ipsum,Lorem ipsum,false,4,https://es.wikipedia.org/wiki/Curso,true,manager-01
project-02,ZZZ-0002,lorem ipsum,Lorem ipsum,false,4,https://es.wikipedia.org/wiki/Curso,true,manager-01
project-03,AAA-0003,L,Lorem ipsum,false,4,https://es.wikipedia.org/wiki/Curso,true,manager-01
project-04,AAA-0004,Lo,Lorem ipsum,false,4,https://es.wikipedia.org/wiki/Curso,true,manager-01
project-05,AAA-0005,LoremipsumLoremipsumLoremipsumLoremipsumLoremipsumLoremipsumLoremipsumLoren,Lorem ipsum,false,4,https://es.wikipedia.org/wiki/Curso,true,manager-01
project-06,AAA-0006,LoremipsumLoremipsumLoremipsumLoremipsumLoremipsumLoremipsumLoremipsumLore,Lorem ipsum,false,4,https://es.wikipedia.org/wiki/Curso,true,manager-01
project-07,AAA-0007,æ¨£æœ¬æ¨™é¡Œ,Lorem ipsum,false,4,https://es.wikipedia.org/wiki/Curso,true,manager-01
project-08,AAA-0008,貸んい建濯よ芝弾テソ,Lorem ipsum,false,4,https://es.wikipedia.org/wiki/Curso,true,manager-01
project-09,AAA-0009,<p>This text is in HTML</p>,Lorem ipsum,false,4,https://es.wikipedia.org/wiki/Curso,true,manager-01
project-10,AAA-0010,<script>alert('Hi')</script>,Lorem ipsum,false,4,https://es.wikipedia.org/wiki/Curso,true,manager-01
project-11,AAA-0011,' or 'A'='A',Lorem ipsum,false,4,https://es.wikipedia.org/wiki/Curso,true,manager-01
project-12,AAA-0012,SELECT c FROM Contract OR 1=1,Lorem ipsum,false,4,https://es.wikipedia.org/wiki/Curso,true,manager-01
project-13,AAA-0013,Lorem ipsum,L,false,4,https://es.wikipedia.org/wiki/Curso,true,manager-01
project-14,AAA-0014,Lorem ipsum,Lo,false,4,https://es.wikipedia.org/wiki/Curso,true,manager-01
project-15,AAA-0015,Lorem ipsum,LoremipsumLoremipsumLoremipsumLoremipsumLoremipsumLoremipsumLoremipsumLoremipsumLoremipsumLoremipsum,false,4,https://es.wikipedia.org/wiki/Curso,true,manager-01
project-16,AAA-0016,Lorem ipsum,LoremipsumLoremipsumLoremipsumLoremipsumLoremipsumLoremipsumLoremipsumLoremipsumLoremipsuLoremipsum,false,4,https://es.wikipedia.org/wiki/Curso,true,manager-01
project-17,AAA-0017,Lorem ipsum,æ¨£æœ¬æ¨™é¡Œ,false,4,https://es.wikipedia.org/wiki/Curso,true,manager-01
project-18,AAA-0018,Lorem ipsum,<p>This text is in HTML</p>,false,4,https://es.wikipedia.org/wiki/Curso,true,manager-01
project-19,AAA-0019,Lorem ipsum,<script>alert('Hi')</script>,false,4,https://es.wikipedia.org/wiki/Curso,true,manager-01
project-20,AAA-0020,Lorem ipsum,' or 'A'='A',false,4,https://es.wikipedia.org/wiki/Curso,true,manager-01
project-21,AAA-0021,Lorem ipsum,SELECT c FROM Contract OR 1=1,true,4,https://es.wikipedia.org/wiki/Curso,true,manager-01
project-22,AAA-0022,Lorem ipsum,Lorem ipsum,false,0,https://es.wikipedia.org/wiki/Curso,true,manager-01
project-22.1,AAA-1022,Lorem ipsum,Lorem ipsum,false,1,https://es.wikipedia.org/wiki/Curso,true,manager-02
project-23,AAA-0023,Lorem ipsum,Lorem ipsum,false,100,https://es.wikipedia.org/wiki/Curso,true,manager-01
project-23.1,AAA-1023,Lorem ipsum,Lorem ipsum,false,10000,https://es.wikipedia.org/wiki/Curso,true,manager-02
project-23.2,AAA-2023,Lorem ipsum,Lorem ipsum,false,9999,https://es.wikipedia.org/wiki/Curso,true,manager-02
project-24,AAA-0024,Lorem ipsum,Lorem ipsum,false,4,,true,manager-01
project-25,AAA-0025,Lorem ipsum,Lorem ipsum,false,4,null,true,manager-01
project-26,AAA-0026,Lorem ipsum,Lorem ipsum,false,4,https://es.wikipedia.org/wiki/CursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCurso,true,manager-01
project-27,AAA-0027,Lorem ipsum,Lorem ipsum,false,4,https://es.wikipedia.org/wiki/CursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCurs,true,manager-01
project-28,AAA-0028,Lorem ipsum,Lorem ipsum,false,4,https://es.wikipedia.org/wiki/Curso,true,manager-01
project-28.1,AAA-1028,Lorem ipsum,Lorem ipsum,false,4,ftp://www.example.com/myProfile,true,manager-01
project-28.2,AAA-2028,Lorem ipsum,Lorem ipsum,false,4,https://www.example.com?ejemplo=ejemplo&id=4,true,manager-01
project-28.3,AAA-3028,Lorem ipsum,Lorem ipsum,false,4,https://www.example.com?,true,manager-01
project-28.4,AAA-4028,Lorem ipsum,Lorem ipsum,false,4,https://www.んい建濯よ芝.com,true,manager-01
